category,filename,title,path,tags,license
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_09.svg,Multi Lane Data Flow 09,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_09.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_10.svg,Multi Lane Data Flow 10,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_10.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_11.svg,Multi Lane Data Flow 11,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_11.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_12.svg,Multi Lane Data Flow 12,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_12.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_13.svg,Multi Lane Data Flow 13,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_13.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_14.svg,Multi Lane Data Flow 14,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_14.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_15.svg,Multi Lane Data Flow 15,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_15.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_16.svg,Multi Lane Data Flow 16,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_16.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_17.svg,Multi Lane Data Flow 17,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_17.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_18.svg,Multi Lane Data Flow 18,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_18.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_19.svg,Multi Lane Data Flow 19,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_19.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_20.svg,Multi Lane Data Flow 20,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_20.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_21.svg,Multi Lane Data Flow 21,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_21.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_22.svg,Multi Lane Data Flow 22,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_22.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_23.svg,Multi Lane Data Flow 23,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_23.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_24.svg,Multi Lane Data Flow 24,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_24.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_25.svg,Multi Lane Data Flow 25,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_25.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_26.svg,Multi Lane Data Flow 26,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_26.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_27.svg,Multi Lane Data Flow 27,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_27.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_28.svg,Multi Lane Data Flow 28,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_28.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_29.svg,Multi Lane Data Flow 29,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_29.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_30.svg,Multi Lane Data Flow 30,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_30.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_31.svg,Multi Lane Data Flow 31,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_31.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_32.svg,Multi Lane Data Flow 32,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_32.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_33.svg,Multi Lane Data Flow 33,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_33.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_34.svg,Multi Lane Data Flow 34,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_34.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_35.svg,Multi Lane Data Flow 35,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_35.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_36.svg,Multi Lane Data Flow 36,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_36.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_37.svg,Multi Lane Data Flow 37,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_37.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_38.svg,Multi Lane Data Flow 38,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_38.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_39.svg,Multi Lane Data Flow 39,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_39.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_40.svg,Multi Lane Data Flow 40,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_40.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_41.svg,Multi Lane Data Flow 41,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_41.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_42.svg,Multi Lane Data Flow 42,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_42.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_43.svg,Multi Lane Data Flow 43,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_43.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_44.svg,Multi Lane Data Flow 44,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_44.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_45.svg,Multi Lane Data Flow 45,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_45.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_46.svg,Multi Lane Data Flow 46,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_46.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_47.svg,Multi Lane Data Flow 47,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_47.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
02_Multi_Lane_Data_Flow_Gradient,multi_lane_data_flow_48.svg,Multi Lane Data Flow 48,02_Multi_Lane_Data_Flow_Gradient/multi_lane_data_flow_48.svg,gradient;multi-lane;data-flow;platform,self-made; editable for internal PPT use
03_Milestone_Chevron_Timelines,milestone_chevron_timeline_01.svg,Milestone Chevron Timeline 01,03_Milestone_Chevron_Timelines/milestone_chevron_timeline_01.svg,chevron;process;timeline;milestone,self-made; editable for internal PPT use
03_Milestone_Chevron_Timelines,milestone_chevron_timeline_02.svg,Milestone Chevron Timeline 02,03_Milestone_Chevron_Timelines/milestone_chevron_timeline_02.svg,chevron;process;timeline;milestone,self-made; editable for internal PPT use
03_Milestone_Chevron_Timelines,milestone_chevron_timeline_03.svg,Milestone Chevron Timeline 03,03_Milestone_Chevron_Timelines/milestone_chevron_timeline_03.svg,chevron;process;timeline;milestone,self-made; editable for internal PPT use
03_Milestone_Chevron_Timelines,milestone_chevron_timeline_04.svg,Milestone Chevron Timeline 04,03_Milestone_Chevron_Timelines/milestone_chevron_timeline_04.svg,chevron;process;timeline;milestone,self-made; editable for internal PPT use
03_Milestone_Chevron_Timelines,milestone_chevron_timeline_05.svg,Milestone Chevron Timeline 05,03_Milestone_Chevron_Timelines/milestone_chevron_timeline_05.svg,chevron;process;timeline;milestone,self-made; editable for internal PPT use
03_Milestone_Chevron_Timelines,milestone_chevron_timeline_06.svg,Milestone Chevron Timeline 06,03_Milestone_Chevron_Timelines/milestone_chevron_timeline_06.svg,chevron;process;timeline;milestone,self-made; editable for internal PPT use
03_Milestone_Chevron_Timelines,milestone_chevron_timeline_07.svg,Milestone Chevron Timeline 07,03_Milestone_Chevron_Timelines/milestone_chevron_timeline_07.svg,chevron;process;timeline;milestone,self-made; editable for internal PPT use
03_Milestone_Chevron_Timelines,milestone_chevron_timeline_08.svg,Milestone Chevron Timeline 08,03_Milestone_Chevron_Timelines/milestone_chevron_timeline_08.svg,chevron;process;timeline;milestone,self-made; editable for internal PPT use
03_Milestone_Chevron_Timelines,milestone_chevron_timeline_09.svg,Milestone Chevron Timeline 09,03_Milestone_Chevron_Timelines/milestone_chevron_timeline_09.svg,chevron;process;timeline;milestone,self-made; editable for internal PPT use
